,csf,3rd_ventricle,inf_lat_vent,4th_ventricle,frontal,temporal,parietal,occipital,insula,thalamus,caudate,putamen,pallidum,hippocampus,amygdala,accumbens_area,ventraldc,cingulate,cerebellum,total_lateral_ventricle,subject,brain_stem,parietal
87,1165.8569404367217,807.4219587490564,1441.9719263300908,2375.6178786304017,122585.44973714647,92465.59227596087,85759.59961856801,38352.88604056266,9851.645496682413,13434.966313611636,6343.441675915485,9334.058523125776,3988.403796233657,6130.781686780219,2738.1688601077813,897.28795415783,7382.388622835999,16432.78616045393,127887.20046628163,18891.41003484358,OAS1_0026_MR1_mpr-2,19345.542011642112,85759.59961856801
92,1153.1659410851012,1059.8699458515653,1700.9369130996479,1880.3259039347186,138397.4059293184,90123.58839561316,82566.26978171428,46619.18561823992,8084.509586964852,13609.896304674516,6778.022653712875,7948.338593921786,3590.866816543701,6071.099689829354,2691.86386247349,846.5239567513472,7334.368625289327,19266.65201567258,120261.2818558875,12338.052369652638,OAS1_0213_MR1_mpr-2,18961.725031251208,82566.26978171428
99,1181.6349396306287,1861.4609048985258,2634.239865417482,2536.4848704117558,142893.7926995994,96118.54208933277,97236.72203220532,34844.68221979574,11448.310415109285,13249.403323091994,6998.571642445093,9263.40052673567,3965.079797425273,6284.788678912048,2770.4108584605474,900.7179539825922,6932.372645827179,18201.63707008387,108327.28346559187,41430.96788330439,OAS1_0354_MR1_mpr-2,17345.852113805664,97236.72203220532
104,1087.309944449664,1069.8169453433761,2366.6998790860193,2023.0138966448324,173008.50516104783,106349.88856661637,116033.46407188545,55726.178152966415,11691.154402702461,17077.969127491728,8721.803554405695,11985.791387649544,4888.092750268821,6757.4426547643,2797.164857093694,1236.5149368268262,8472.442567145474,19935.15898151876,137522.06997403907,33164.66830562713,OAS1_0145_MR1_mpr-2,21420.691905623335,116033.46407188545
105,950.7959514241226,973.4339502675541,1951.3269003072992,1554.4759205822957,150164.02032816564,85159.00664925214,91092.56334610851,51583.42436461846,11631.81540573407,13543.354308074127,7640.324609658128,9902.06649410642,3813.130805188301,5776.805704864744,2389.3378779294508,985.7819496366985,7129.597635751014,17782.83409148039,107497.90950796433,16614.91915114881,OAS1_0178_MR1_mpr-2,15500.855208066,91092.56334610851
111,920.2689529837377,1344.9029312893163,2262.084884430768,1775.0249093145146,143215.86968314456,90260.44538862116,98860.14094926532,52294.80632827418,10517.408462668784,13428.449313944588,7548.4006143544975,10133.934482260354,3780.2028068705827,6583.198663666372,2681.573862999203,879.794955051542,6808.892652135735,18710.6490440786,118489.68694639776,18112.45707464005,OAS1_0343_MR1_mpr-2,18455.114057133807,98860.14094926532
112,1444.3729262074244,2080.63789370084,2712.100861439588,1814.1269073168053,150310.481320683,90810.27436053057,86117.69160027319,39451.17198445156,11640.390405295977,13125.92332940055,7155.665634419209,8457.007567934043,3310.6358308606173,5458.501721126799,3021.8298456156276,1083.8799446249018,6709.765657200103,19283.459014813914,111815.59328737517,65376.82565991776,OAS1_0337_MR1_mpr-2,18655.083046917454,86117.69160027319
113,1697.8499132573618,2970.0368482617164,5286.315729923729,2814.657856199982,141674.77076187887,60064.441931325855,90772.20136247571,44973.81470230142,9989.188489655382,11938.8003900503,7228.381630704171,7981.952592204458,3578.861817157033,2450.0488748277444,1338.728931604744,784.4409599231487,6506.366667591696,17782.148091515435,117528.60099549935,72478.6402970882,OAS1_0430_MR1_mpr-2,17659.011097806466,90772.20136247571
115,1134.3009420489082,1031.743947288514,2279.2348835545795,1808.2959076147092,141638.06976375385,102666.75475478655,100812.83984950252,47927.73055138675,10950.274440553792,12334.2793698454,6799.288652626401,8333.870574225075,3403.588826111677,6438.7956710438775,2670.9408635424397,849.6109565936333,6566.048664542561,18174.197071485774,108131.08747561547,26031.983670033835,OAS1_0241_MR1_mpr-2,16902.010136481418,100812.83984950252
116,1103.7739436085233,1187.4659393327245,2435.299875581266,1430.6529269083749,122341.91974958833,70542.40539600985,79449.42894095273,32902.273319032814,10107.866483592159,11535.43241065825,6452.172670360451,7064.7706390630065,2907.6108514510415,4078.9557916073827,1552.7609206699144,700.062964233995,5439.29372210813,15433.970211483134,85722.55562046058,24138.28076678254,OAS1_0329_MR1_mpr-2,15510.116207592857,79449.42894095273
130,825.9439578027732,601.2789692808394,2071.7198941564575,1305.8009332870256,154051.92512953375,105208.72762491796,101461.10981638261,49568.29946757058,9188.626530555852,14709.211248510848,6565.3626645776085,9766.924501010784,3636.8288141955163,6461.4336698873085,2761.835858898642,1107.5469434157617,7756.944603700048,20092.252973492876,137731.64296333204,8354.450573173648,OAS1_0049_MR1_mpr-2,19738.962991542354,101461.10981638261
137,826.9729577502019,606.7669690004592,2254.881884798767,1297.5689337075958,152291.30621948323,96124.0300890524,96200.17608516212,48157.19753966335,9410.547519217975,14140.517277565252,7875.622597636825,10538.674461582312,4039.16779364014,7007.489641989475,2759.777859003784,1072.2179452207097,7233.869630423789,18838.58803754224,120796.36182855043,14648.843251595032,OAS1_0050_MR1_mpr-2,19126.708022822277,96200.17608516212
138,1083.1939446599492,1754.7879103484167,2321.423881399156,2047.7098953831212,127223.8385001726,80478.42888838142,79994.45591310745,44974.84370224885,8967.734541841157,11707.275401878844,5208.7977338841,7157.723634314066,3069.163843197348,6101.969688252215,2355.0378796818272,738.4789622713333,6681.296658654575,16257.856169391049,94352.09217958016,32505.079339325333,OAS1_0206_MR1_mpr-2,17635.68709899808,79994.45591310745
144,873.963955349446,661.9899661791329,777.9239602561004,1354.8499307811271,135729.89506560075,100252.72087811882,91121.37534463652,43650.17776992563,10948.559440641411,13159.880327665696,6555.415665085797,9533.341512944467,3833.7108041368756,6969.759643917089,3133.304839920404,1158.6539408047208,7416.0026211186705,20296.33796306624,115119.0261186038,10729.03945185662,OAS1_0133_MR1_mpr-2,18757.98304166032,91121.37534463652
147,908.6069535795457,810.1659586088664,2121.4548916155118,2395.511877614023,184518.55557300284,119212.73090945766,122290.46975221692,57678.191053238676,10435.088466874487,17053.616128735914,8464.210567566044,11761.469399110087,4586.938765654686,6876.463648683553,3271.5338328583266,1117.836942890049,8686.81755619312,19581.18299960329,150619.5243048941,19132.539022524372,OAS1_0126_MR1_mpr-2,20068.92897468449,122290.46975221692
156,1032.7729472359426,797.4749592572457,2372.8738787705915,1488.6199239468585,193230.06912793423,131109.34230166336,131119.2893011552,62387.2378126549,13076.874331906449,17565.02910260798,7895.8595966029225,12997.298335971962,4526.227768756393,7924.32859514845,3474.246822501781,1250.5779361083517,8162.027583004481,28002.518569359803,143966.69664478503,19621.656997535483,OAS1_0107_MR1_mpr-2,19600.73399860443,131119.2893011552
163,1061.9279457464227,1507.8279229655277,1745.1839108390823,2111.507892123701,149286.62637299142,106297.75256928,98382.34197367591,47076.40459488073,11364.27541940261,13060.41033274759,6875.4346487361245,9018.841539230116,3726.69480960429,6533.463666207319,3000.9068466845774,1010.8209483574636,7343.286624833709,20846.509934958118,123067.36471252557,40183.8199470208,OAS1_0279_MR1_mpr-2,19697.45999366273,98382.34197367591
168,1356.9079306759845,2413.6908766852634,5899.942698573714,1458.7789254714262,140379.94582803105,91469.52032684989,92268.02428605457,38891.39601305035,11369.077419157275,12199.48037673224,8302.314575837261,9747.716501992114,4076.5547917300496,6790.027653099542,3076.023842846873,858.8719561204916,7095.29763750339,20835.533935518877,94511.24417144913,68784.87348580164,OAS1_0400_MR1_mpr-2,20109.40297261669,92268.02428605457
171,1297.9119336900721,1273.9019349167356,2450.3918748102205,1754.1019103834642,183795.85460992542,118079.80196733866,118121.99096518323,58076.75703287606,11609.520406873115,16463.999158859264,8900.163545293337,11790.967397603044,4803.714754579667,7938.0485944475,3280.794832385185,1183.0069395605335,8829.505548903235,22062.787872818844,159513.85685048535,24474.42074960925,OAS1_0327_MR1_mpr-2,25353.186704713364,118121.99096518323
175,1182.320939595581,1199.813938701869,2867.822853483798,2662.70886396301,209765.75528313103,121405.52979742823,134973.9231042231,64665.44369626205,13187.320326263794,17947.131083086504,9592.680509912856,12686.197351866016,4799.598754789952,7009.204641901856,2925.789850522282,1433.0539267857087,9475.374515905984,24699.42873811366,173583.373131678,22561.166847356813,OAS1_0214_MR1_mpr-2,26483.37164697256,134973.9231042231
178,727.1599628496176,548.7999719619755,1989.3998983621614,1633.3659165518297,157395.1459587296,105502.67860990007,107224.88152191325,52007.37234295909,9961.40549107481,15237.774221506726,7014.692641621476,9836.210497470984,3918.4317998085053,7186.878632824546,2588.620867748143,981.3229498645076,8003.561591100461,20466.12295439197,140961.33079832827,9259.970526910907,OAS1_0325_MR1_mpr-2,20859.88693427469,107224.88152191325
187,916.1529531940229,671.5939656884675,1623.4189170600189,797.4749592572457,132534.16422886966,78673.90598057395,77487.12604120618,44328.63173526362,9128.944533604987,12377.15436765493,6851.767649945265,8543.78656350053,3402.559826164248,5743.877706547026,2397.5698775088804,890.0849545258291,6455.94567016769,16611.489151324044,96466.34407156368,9824.54849806679,OAS1_0367_MR1_mpr-2,15227.827222014916,77487.12604120618
189,786.4989598180061,797.1319592747694,1607.9839178485884,2714.158861334445,146375.24252173316,92139.05629264351,94802.45115657148,39626.44497549692,9821.118498242027,13976.906285924088,6693.301658041244,9009.23753972078,3806.956805503729,6001.127693404202,2270.316884010197,934.6749522477396,7467.109618507629,17216.541120412123,115650.67609144196,11948.06138957716,OAS1_0192_MR1_mpr-2,17711.147095142856,94802.45115657148
192,875.6789552618272,643.8109671078926,1496.508923543812,1330.153932042838,143947.83164574887,101825.0327977899,100107.63188553139,43116.12679721013,9177.993531099088,14777.46824502362,7092.896637626058,9624.23650830067,4274.122781636361,7015.7216415689045,2717.931861141684,992.6419492862233,8013.5085905922715,18106.283074955478,123439.5196935123,12355.545368758925,OAS1_0379_MR1_mpr-2,19793.842988738554,100107.63188553139
193,887.6839546484954,1876.8959041099563,3530.8418196103603,2014.4388970829264,109282.53841678817,71539.84934505075,72867.60227721625,36657.780127165104,6975.590643619185,10164.118480718262,4976.586745747689,5332.620727558021,2463.4258741443173,4548.865767599825,1619.9889172352564,633.5209676336056,5413.5687234224115,15292.997218685401,101912.15479333885,33817.740272261886,OAS1_0352_MR1_mpr-2,15285.108219088446,72867.60227721625
194,1335.641931762458,1398.7539285380851,2587.5918678007147,1902.6209027956738,127326.73849491548,78995.98296411915,84564.5876796208,32631.989332841542,11036.710436137804,11244.225425535926,6576.681663999325,8429.567569335944,3514.0348204690245,4526.570768738869,2255.9108847461957,904.1479538073547,6582.169663718943,17935.812083664787,103046.79873537023,40096.35495148936,OAS1_0122_MR1_mpr-2,18278.46906615855,84564.5876796208
197,1268.7569351795921,1920.4569018844381,2647.6168647340555,2976.2108479462886,162734.62668593717,108885.00143709822,99670.99290783913,45966.11365160516,11480.209413479575,13800.261294948827,6921.739646370416,9864.336496034033,4390.399775695803,6418.901672060256,2873.653853185894,957.312951091171,7511.013616264588,22714.83083950617,125662.84557992325,67504.45455121784,OAS1_0113_MR1_mpr-2,22279.563861743824,99670.99290783913
200,1635.7669164291633,2944.3118495759986,7052.765639676338,1587.403918900014,125915.29356702574,75946.71311990541,84506.62068258232,38470.878034534486,9383.79352058483,11362.560419490226,6020.678692405348,7894.144596690541,3525.0108199082642,3765.796807606581,1641.254916148783,581.3849702972178,6133.868686622505,15695.679198112499,109503.77340548535,75365.67114959066,OAS1_0137_MR1_mpr-2,16377.220163292779,84506.62068258232
201,1012.5359482698449,1121.6099426972876,2271.345883957626,2126.256891370179,183732.3996131673,113979.92317680022,113038.04522492047,56106.56513353257,12483.484362222562,17127.01812498583,8409.330570369846,11077.527434052476,4421.269774118666,8153.109583460098,3199.8468365207937,1358.2799306058894,10020.744488043198,21635.752894635934,131267.8082935674,16384.42316292478,OAS1_0314_MR1_mpr-2,23782.24678497221,113038.04522492047
207,1369.255930045129,1928.0029014989152,3411.1348257261543,1989.3998983621614,145017.6485910922,93512.08522249587,93395.12222847147,42235.64584219364,12789.440346591364,13063.497332589875,7471.9116182622965,9486.6935153277,3821.0198047852546,6150.3326857813645,2516.590871428134,870.1909555422075,7043.50464014948,18929.140032915966,105773.6485960563,34918.7702160106,OAS1_0228_MR1_mpr-2,18156.018072414532,93395.12222847147
208,1448.8319259796153,1681.0429141160262,2268.9448840802925,2189.02588816333,138422.4449280392,95871.58210194988,85404.25163672262,41590.462875155834,11826.296395798097,12821.682344944129,7061.340639238244,8589.748561152346,4273.779781653884,5779.549704724554,2196.2288877953306,914.4379532816417,7119.993636241679,19279.3430150242,121480.30379360804,39390.11798757079,OAS1_0362_MR1_mpr-2,19688.884994100823,85404.25163672262
212,921.2979529311664,1036.5459470431813,1174.4319399986275,2016.1538969953076,178448.14188313845,109986.7173808119,106694.603549005,51646.19336141161,10193.273479228743,14950.683236174118,8025.170589996464,10918.032442201027,3945.5287984241277,7052.422639693862,2905.209851573708,1089.3679443445214,8074.905587455518,18350.499062478557,133565.22217619323,10756.822450437197,OAS1_0442_MR1_mpr-2,18942.860032215012,106694.603549005
213,1131.8999421715746,2325.8828811713474,4737.85875794423,167.72699143087877,157111.1419732393,101943.36779174418,87437.55553284174,39848.365964159035,13177.71632675446,13495.677310509931,8017.281590399511,9339.203522862917,4447.680772769336,7096.669637433296,2837.63885502589,846.5239567513472,7553.888614074116,20794.373937621727,27685.243585569282,66506.324602212,OAS1_0398_MR1_mpr-2,10308.521473340757,87437.55553284174
215,962.4579508283146,925.4139527208812,2172.904888986947,2608.1718667492887,191340.13922449018,125037.2136118866,121930.31977061687,55105.34818468444,11272.694424081454,18027.393078985944,9372.131521180636,11904.500391802678,4867.169751337771,7770.664602999097,3107.5798412346862,1331.8689319552193,9315.536524072057,23369.6178060533,151906.11723916244,15403.786213025223,OAS1_0029_MR1_mpr-2,24130.73476716806,121930.31977061687
224,1038.9469469205148,938.1049520725019,2611.2588665915746,2098.1308928071276,211127.8082135442,136022.13105067046,142181.7247359787,59301.6099702987,13275.471321760187,19051.248026677502,10551.365460933932,12549.683358840475,4879.860750689391,7746.6546042257605,3199.1608365558413,1207.0169383338698,9253.110527261384,25494.159697511095,153451.67516020036,21222.43791575207,OAS1_0277_MR1_mpr-2,24274.451759825606,142181.7247359787
228,1328.438932130457,1555.1619205472482,2254.5388848162906,2038.791895838739,128423.65243887446,82097.73180565173,81160.31285354416,32284.873350575588,10222.085477756747,10920.090442095883,6690.557658181434,8472.785567127949,3072.5938430221104,6296.793678298716,2725.1348607736845,843.4369569090611,6474.12466923893,15462.782210011137,98499.30496770031,32922.167318016436,OAS1_0083_MR1_mpr-2,17669.987097245707,81160.31285354416
231,1355.8789307285558,1721.516912048222,3352.481828722718,1822.3589068962349,124107.68365937601,85576.09462794324,79404.15294326586,37378.76609033015,10530.099462020406,11265.148424466975,7345.00162474609,9096.359535269745,3930.0937992126974,5182.729735215907,2286.780883169057,907.2349536496408,6997.199642515188,17425.428109740154,102993.29073810394,49061.688493453184,OAS1_0388_MR1_mpr-2,18193.062070521966,79404.15294326586
233,1363.0819303605567,1999.6898978364484,4315.968779498461,1919.7709019194856,146027.44053950225,97350.59802638741,87257.13754205925,43188.15679353014,13326.921319131623,11774.160398461709,7489.74761735106,8582.202561537868,3721.2068098846703,6328.692676669007,2635.268865364911,823.8859579079158,7106.616636925107,19948.53598083533,71935.67132482832,39500.563981928135,OAS1_0317_MR1_mpr-2,18757.64004167785,87257.13754205925
239,748.4259617631441,710.6959636907583,2054.912895015122,1431.3389268733274,161477.1887501793,112187.7482683619,111337.79431178578,48741.66950980286,12203.253376539478,15548.532205630196,7011.60564177919,11444.537415302048,4436.36177334762,8127.727584756858,3562.397817998173,1177.86193982339,8530.752564166432,21588.76189703669,140533.6098201804,8455.635568004138,OAS1_0148_MR1_mpr-2,22000.36187600817,111337.79431178578
247,1434.7689266980897,2530.3108707271836,7768.949603086716,2448.6768748978393,130509.77833229493,65072.58467546134,73975.49222061448,38610.822027384784,9470.229516168842,9747.716501992114,6230.594681680804,7316.189626218086,2975.1818479988597,3853.604803120497,1396.6959286432277,434.5809777973893,5629.3157123999645,14158.353276654016,80036.30191096956,86820.49856436701,OAS1_0031_MR1_mpr-2,15928.233186231388,73975.49222061448
