,csf,3rd_ventricle,inf_lat_vent,4th_ventricle,frontal,temporal,parietal,occipital,insula,thalamus,caudate,putamen,pallidum,hippocampus,amygdala,accumbens_area,ventraldc,cingulate,cerebellum,subject,brain_stem,parietal,lateral_ventricle,total_cerebral_white_matter
101,1128.469942346812,2500.812872234227,6066.983690039639,2895.6058520643733,98250.28698042258,68208.29051525908,66882.25258300596,30304.391451757816,7244.159629898077,8335.585574137454,4448.709772716764,6739.9496556580125,2527.9098708498495,4219.928784405116,1541.441921248199,629.4049678438907,5328.504727768306,12919.09433996738,95696.99511086948,OAS1_0339_MR1_mpr-4,17107.124126002207,66882.25258300596,58339.83801943534,267102.3183538234
106,814.6249583810575,625.2889680541758,2134.1458909671323,1321.5789324809323,153888.6571378751,105727.343598422,101611.00080872471,49869.110452202236,9155.698532238133,14614.543253347409,6545.8116655764625,9825.234498031743,3652.606813389423,6348.243675670152,2728.907860580923,1102.7449436610946,7710.29660608328,20145.074970794216,138449.88492663729,OAS1_0049_MR1_mpr-4,19632.63299697472,101611.00080872471,6226.821681873565,404690.5873244804
108,994.6999491810807,1085.2519445548066,1808.6389075971856,1869.0069045130028,156935.182982229,110111.22637445077,93135.47124173696,48284.10753317956,11429.78841605557,15291.625218755496,7630.377610166317,9747.030502027163,4133.835788803581,7464.708618630296,3027.6608453177237,1031.4009473060378,8193.583581392295,20109.745972599165,138850.5089061695,OAS1_0357_MR1_mpr-4,22072.048872345702,93135.47124173696,20266.496964590806,422894.2823944591
114,1067.4159454660423,817.025958258391,1613.8149175506842,2591.7078675904295,167312.64745204747,109785.71939108081,109889.64838577111,50206.62243495885,10307.149473410853,15950.871185074819,7686.62960729242,10909.114442656646,4335.862778482083,6581.140663771515,3162.8028384133604,1054.0389461494692,7815.94060068596,20169.770969532503,123472.7906918125,OAS1_0361_MR1_mpr-4,18458.201056976093,109889.64838577111,12575.408357526192,439113.0365658478
119,1859.059905021192,1348.675931096555,1910.1669024101511,2710.3858615272065,186661.27646353183,133212.96119419014,121249.12180541905,54862.847197073745,14105.874279335152,15741.29819578184,8391.837571263557,9477.775515783316,4892.208750058536,7449.273619418866,3520.8948201185494,1185.7509394203435,8597.294560766823,24951.87672521617,144456.8436197436,OAS1_0069_MR1_mpr-4,22726.835838892835,121249.12180541905,24206.194763312837,473227.12882296916
120,1060.5559458165176,845.1519568214424,1517.088922492386,1113.3779431178577,126650.6855294548,88317.0074879108,81885.75781648142,44716.907715426714,9426.325518411883,12883.422341789852,5862.8987004662795,9498.698514714368,3550.0498186290292,6737.891655763155,2574.2148684841413,931.5879524054535,7049.335639851575,17201.792121165647,107308.23051765497,OAS1_0040_MR1_mpr-4,18767.930041152133,81885.75781648142,10866.239444847115,373822.98990149656
121,997.7869490233668,1097.9429439064272,1708.4829127141252,2179.078888671519,141603.76976550627,99842.49289907725,101542.74381221196,50240.23643324153,11286.071423398025,12464.962363168845,7020.180641341096,9708.271504007345,3878.643801841262,6526.946666540271,2763.893858793499,916.4959531764991,6628.817661335712,19589.414999182714,107955.12848460517,OAS1_0030_MR1_mpr-4,18324.431063810363,101542.74381221196,22124.870869647042,330867.0440961028
123,1204.27293847406,1402.5269283453238,2148.208890248658,2065.5458944718853,177789.92491676655,108294.01246729167,111774.09028949555,50352.054427528776,12570.949357754002,16669.113148380053,9915.443493422992,10737.614451418529,4647.992762535457,7551.487614196783,3481.7928221162583,1192.9539390523444,8878.897546379812,21367.18390835704,152660.0312006452,OAS1_0017_MR1_mpr-4,23246.137812361856,111774.09028949555,22968.650826538582,468832.61304748367
124,715.4979634454256,1875.8669041625276,4208.6097849834005,1524.6349221068633,153249.99117050436,84525.4856816185,89470.51642897839,30518.080440840506,11384.855418351182,12611.423355686198,6982.793643251186,7950.7395937991205,3627.9108146511344,4001.094795585278,2336.858880610587,610.1969688252216,6849.023650085454,17616.479099979413,80672.90987844544,OAS1_0021_MR1_mpr-4,14391.25026475538,89470.51642897839,87351.46253724021,359063.35765556176
126,1255.379935863019,843.7799568915374,1735.5799113297476,2080.63789370084,163896.3676265842,107111.6915276961,121827.0767758915,47489.37657378212,11608.491406925688,14675.597250228178,7901.347596322543,10958.8494401157,4065.2357923083337,7145.032634962445,3050.9848441261074,1078.391944905282,7578.9276127948815,21383.304907533424,119162.99591199862,OAS1_0051_MR1_mpr-4,18542.922052647726,121827.0767758915,12612.109355651151,439560.65154297935
133,1317.4629326912175,999.8449489182242,1930.7469013587252,1723.5749119430793,190192.80428310717,126870.89151820456,118135.71096448228,62019.19883145791,12675.221352426777,18450.99805734409,9287.753525491484,12176.842377888808,4799.941754772428,7484.602617613918,3240.663834435465,1034.1449471658477,9340.9185227753,22563.910847216626,165446.72754737677,OAS1_0153_MR1_mpr-4,24129.705767220636,118135.71096448228,10107.18048362721,481094.8624210091
153,1761.6479099979415,2894.919852099421,6600.6916627726605,2670.5978635599636,141031.30279475343,62288.110817719265,90536.56037451452,44599.601721419844,10045.440486781485,12194.335376995095,7258.565629162079,8144.877583880669,3545.2478188743617,2806.082856638076,1273.2159349517833,736.4209623764759,6532.091666277413,17894.309085785164,118356.2599532145,OAS1_0430_MR1_mpr-4,17297.832116258993,90536.56037451452,67104.17357166807,354628.0248821615
159,1633.3659165518297,2333.4288807858247,3294.514831684234,2762.8648588460705,135168.7470942696,98632.73196088357,93450.34522565015,41157.596897270836,11060.034434946188,12154.204379045375,6663.803659548288,8495.423565971381,3601.842815982941,4906.957749305014,2374.588878682973,785.4699598705774,6426.104671692257,18472.26405625762,96556.21006697245,OAS1_0221_MR1_mpr-4,16691.40814724101,93450.34522565015,63724.59474432974,330973.031090688
161,1193.6399390172967,1275.6169348291169,2710.3858615272065,941.5349518972642,122948.68671858878,77233.99205413871,78730.15797770006,31535.761388847495,11146.470430530198,7666.392608326321,6648.7116603193335,8547.216563325292,3348.0228289505267,4520.396769054297,2160.5568896178024,869.8479555597312,4273.093781688932,18218.787069207683,33936.41826619866,OAS1_0291_MR1_mpr-4,7089.809637783771,78730.15797770006,25854.309679111146,334493.5829108241
164,910.3219534919269,842.7509569441087,1114.7499430477628,1853.2289053190962,158692.71489243722,105448.82761265131,99585.92891218503,48616.131516216556,9418.436518814928,15056.327230776798,6746.123655342584,9368.015521390922,3850.5178032782105,6910.7636469311765,3097.9758417253515,1017.6809480069883,7532.279615178114,19557.859000794902,113682.19919201086,OAS1_0209_MR1_mpr-4,17149.313123846783,99585.92891218503,10347.280471360573,398777.61062657257
165,1364.796930272938,1812.7549073869004,2596.5098673450966,1701.6229130646004,151617.65425389993,100934.94784326406,93866.74720437628,58993.93898601751,10932.781441447505,13810.551294423114,7034.586640605097,10892.993443480262,4322.4857791655095,6222.362682101373,2738.1688601077817,892.4859544031626,7493.5206171582995,21736.251889501465,118205.33996092496,OAS1_0418_MR1_mpr-4,20067.899974737065,93866.74720437628,22587.577846007483,440963.1784713247
182,1086.6239444847115,1234.1139369494924,937.7619520900257,1759.589910103084,142294.5717302134,102347.42177110122,91346.04033315845,40522.36092972485,8939.265543295627,12775.377347309837,7438.297619979625,7799.819601509576,3501.0008211349277,6773.220653958207,2805.7398566555994,980.2939499170787,7685.600607344992,17677.87609684266,146613.62750955415,OAS1_0070_MR1_mpr-4,19938.931981326,91346.04033315845,20425.991956442253,379362.4396184877
184,2083.3818935606496,2675.3998633146307,3812.1018052408726,2211.320887024285,144150.54463539232,98337.06597598906,94091.06919291575,38276.39704447046,11929.88239050592,12703.690350972305,7379.301622993713,9103.21953491927,3435.830824464443,5624.513712645296,2389.3378779294508,745.6819619033342,6987.2526430233775,21165.156918678535,111943.53228083882,OAS1_0226_MR1_mpr-4,20416.38795693292,94091.06919291575,45794.95666034952,348150.12721311534
185,1167.571940349103,914.4379532816417,1772.2809094547047,1936.9209010432974,185344.49953080562,128765.62342140327,134238.53114179405,48739.95450989048,11061.406434876093,15392.467213603508,8427.16656945861,9515.162513873227,3734.5838092012436,6589.029663368468,3088.0288422335407,1104.1169435909997,7714.412605872994,24138.62376676502,133055.867202216,OAS1_0415_MR1_mpr-4,19573.63699998881,134238.53114179405,12496.175361574184,434426.97080525756
196,1356.221930711032,2244.2488853420036,4541.662767967824,1093.8269441167124,136038.9380498118,79298.16594868069,87085.63755082112,37464.17308596674,10556.167460688599,12327.762370178352,8617.874559715397,9666.08250616277,4251.48478279293,4860.652751670722,1610.0419177434455,782.0399600458152,7688.001607222324,19236.125017232196,101505.35681412203,OAS1_0166_MR1_mpr-4,18069.58207683052,87085.63755082112,51785.451354296965,377390.8757192143
203,1129.4989422942408,797.4749592572457,2223.6688863934296,1954.4139001495853,169791.85132538574,107061.2705302721,116541.44704593274,47256.822585663234,11092.276433298954,14968.862235245359,8088.968586737043,11534.746410693297,4467.917771735433,6769.104654168492,2677.457863209488,1315.0619328138837,7765.519603261953,23543.17579718627,123944.41566771732,OAS1_0087_MR1_mpr-4,18041.113078284994,116541.44704593274,14664.964250771416,416137.52573965973
211,1365.8259302203667,823.8859579079158,1930.403901376249,1907.079902567865,179527.56282799115,94481.74617295619,106471.31056041295,48340.70253028814,12480.397362380274,15535.498206296099,7960.343593308455,11024.705436751137,4454.8837724013365,6180.859684221749,2893.2048521870397,1083.5369446424254,7835.834599669582,22887.70283067419,114343.16015824256,OAS1_0377_MR1_mpr-4,19233.381017372383,106471.31056041295,12441.63836436046,434201.61981677066
216,1021.4539478142269,964.8589507056482,2289.1818830463903,2072.7488941038864,210733.01523371402,137513.15197449469,142812.15870377005,59590.415955543685,13382.144316310296,19439.181006858125,10539.360461547263,12738.67634918488,4935.426747850541,8076.620587367899,3587.0938167364625,1225.5389373875864,9178.679531064041,25802.85968173971,153901.69113720919,OAS1_0277_MR1_mpr-4,24378.03775453343,142812.15870377005,18702.417044499176,561842.5462956344
221,857.8429561730629,907.9209536145933,1876.55290412748,1499.9389233685743,147226.56847823918,89948.65840455025,91028.42234938545,48532.78252047483,8072.161587595708,14241.016272430788,6688.499658286577,9217.781529066331,3762.023807799342,6176.057684467081,2522.0788711477535,811.1949585562951,7922.613595236069,16167.304174017321,128125.24245412013,OAS1_0168_MR1_mpr-4,20898.98893227698,91028.42234938545,17981.088081351652,433863.7648340316
222,1065.0149455887088,840.6929570492513,1608.3269178310645,1774.6819093320382,171751.7532252549,114521.5201491302,115473.00210051925,49864.994452412524,9981.985490023382,14931.818237137926,8671.382556981689,11045.285435699709,4168.47878703368,7054.480639588719,3373.4048276537683,1073.932945133091,7545.656614494687,20745.324940127626,130001.10935828267,OAS1_0102_MR1_mpr-4,17762.59709251429,115473.00210051925,26019.29267068221,410619.34202158207
223,1768.1649096649899,1752.3869104710832,2493.6098726022265,1696.1349133449805,138970.21590005374,88110.52149846012,88065.24550077325,44746.748713902154,10862.466445039878,12531.161359786758,6172.284684659843,7360.0936239750445,3509.2328207143573,5056.505741664652,2478.8608733557485,702.8069640938049,6446.341670658356,18942.174032250063,114818.21513397215,OAS1_0164_MR1_mpr-4,20069.271974666968,88065.24550077325,54445.07321841769,354971.36786462023
225,992.9849492686994,705.893963936091,2002.090897713782,1477.3009245251428,154364.74111355207,97755.33800570937,102941.49774075003,44338.9217347379,10469.045465139636,15720.032196868313,8015.909590469605,9693.52250476087,4098.849790591004,7148.805634769684,2690.491862543585,1049.5799463772782,7989.498591818935,17164.405123075736,132585.95722622357,OAS1_0311_MR1_mpr-4,19570.207000164046,102941.49774075003,8851.114547799236,376130.6937835967
226,740.1939621837145,647.5839669151311,1598.379918339254,1514.0019226501,135468.18607897137,93082.30624445315,96864.91005120106,42356.03883604279,9281.236525824435,13811.580294370542,8352.049573296314,10106.837483644733,3972.62579703975,5827.912702253703,2959.060848822477,969.6609504603155,7237.299630248552,16752.805144104255,119402.06689978454,OAS1_0349_MR1_mpr-4,20126.895971722977,96864.91005120106,15704.254197674407,392701.02293702355
227,1000.1879489007003,966.2309506355532,1853.5719053015723,1711.226912573935,183538.60462306824,128533.41243326684,126027.79756127796,60044.8909323247,12019.748385914692,16909.213136113416,8396.29657103575,12213.543376013766,4537.546768178108,7800.848601457006,3424.8548250252034,1082.5079446949967,8904.965545048006,24348.53975604047,133850.59816161345,OAS1_0080_MR1_mpr-4,20545.69895032646,126027.79756127796,11249.37042527307,531066.8728679542
229,1138.0739418561468,1736.9519112596524,3412.163825673583,1876.2099041450037,137290.54498586763,97772.1450048507,89288.72643826598,36047.58315833988,12041.70038479317,11664.400404069314,7688.344607204801,9475.031515923507,3588.122816683891,5562.087715834621,2511.4458716909903,890.7709544907815,6037.485691546683,18205.067069908633,115367.01510593412,OAS1_0169_MR1_mpr-4,17808.559090166105,89288.72643826598,58670.14700255994,341798.7965376029
235,1261.8969355300674,1128.126942364336,1993.8588981343523,1652.2309155880225,154852.4870886333,99226.80793053242,95143.05013917037,45882.078655898484,10542.44746138955,14546.97225679959,7155.322634436732,9038.735538213736,4034.3657938854726,6762.93065448392,3149.7688390792637,989.8979494264133,7302.126626936561,19528.361002301946,124785.79462473153,OAS1_0216_MR1_mpr-4,19361.32001083602,95143.05013917037,20351.21796026243,445078.4922610745
236,1100.343943783761,879.1089550865895,1680.0139141685975,1333.5839318676005,180817.92876206673,117973.12897278855,112488.55925299355,51640.362361709515,12329.477370090732,15210.334222908627,8020.3685902417965,10310.236473253139,4224.04478419483,7059.968639308339,3508.546820749405,1206.3309383689175,7691.431607047087,22908.28282962276,125040.30061172889,OAS1_0182_MR1_mpr-4,20023.995976980106,112488.55925299355,14055.796281893621,455598.98772358557
241,1168.6009402965317,1205.644938403965,2359.496879454018,2191.4268880406635,179507.32582902507,107767.50749419066,117371.50700352523,54023.526239954386,12623.085355090388,16484.57915780784,6934.773645704513,10758.537450349577,4400.689775170091,8140.761584090954,3180.981837484601,1202.900938544155,8898.791545363434,24258.673760631696,136556.182023386,OAS1_0063_MR1_mpr-4,21622.37589531936,117371.50700352523,16233.846170617711,516754.8555991508
242,1176.1469399110088,1385.0339292390356,2000.3758978014007,2144.4358904414194,185079.70354433398,123294.43070092484,125938.96056581661,54420.720219661875,13254.548322829138,15874.725188965094,10096.890484152922,11953.892389279255,4536.860768213157,7374.842623221522,3158.000838658693,1289.3369341281664,8272.816577344305,21620.3178954245,138724.97091258323,OAS1_0211_MR1_mpr-4,20155.70797025098,125938.96056581661,22719.632839260834,439002.59057149047
244,897.6309541403062,1925.6019016215816,3636.142814230564,1766.4499097526086,146072.37353720661,83069.4507560069,97403.76302367123,44741.94671414749,9653.39150681115,11450.368415004143,6637.735660880094,9396.141519953973,3460.869823185208,4913.474748972061,1622.7329170950663,825.2579578378206,5778.863704759602,18639.305047723545,116748.96203533086,OAS1_0238_MR1_mpr-4,16187.198173000945,97403.76302367123,36567.91413175633,407956.63315761904
245,838.97795713687,808.7939586789614,2369.7868789283057,1796.6339082105173,198768.14684499556,126090.5665580711,131268.49429353236,71056.9053697242,13458.633312402497,16885.889137305036,7471.56861827982,11433.904415845283,4193.517785754446,7207.115631790643,3336.017829563859,1217.6499377906332,8617.874559715397,25741.46268487646,164582.71059151914,OAS1_0359_MR1_mpr-4,23007.409824558395,131268.49429353236,7216.033631335025,477470.7246061652
246,1774.338909349562,2426.038876054408,4014.4717949018504,1438.1989265228522,121412.73279706022,60259.60892135482,78009.85801449996,44651.73771875624,8831.906548780567,11564.930409151206,5066.795741138939,6969.073643952137,3410.7918257436777,3666.669812670949,1193.2969390348205,689.4299647772318,6476.86866909874,17378.43711214091,116621.70904183217,OAS1_0308_MR1_mpr-4,18531.946053208485,78009.85801449996,35308.4181961036,367031.24724848464
250,1833.6779063179506,2756.347859179022,4409.607774714474,2233.2728859027643,177173.55394825677,101466.59781610222,114918.37112885519,52596.30331287078,13076.188331941496,15761.878194730412,7102.157637152915,9764.866501115925,4760.153756805185,6878.864648560886,2483.6628731104156,961.4289508808858,9436.958517868647,24217.513762734554,148796.47939803288,OAS1_0290_MR1_mpr-4,27642.368587759753,114918.37112885519,58849.53599339502,520753.2063948763
262,931.5879524054534,920.2689529837377,2099.845892719509,1365.4829302378903,163403.13365178334,109598.78440063127,109036.60742935273,43200.16179291681,10988.690438591131,15028.544232196224,7081.234638221866,10439.204466664203,3956.5047978633675,7011.948641761666,2640.756865084531,1249.548936160923,7512.728616176969,20878.06593334593,145564.7335631418,OAS1_0328_MR1_mpr-4,19705.005993277206,109036.60742935273,8918.685544347054,400793.4215235854
265,1223.8239374752054,2287.123883151533,4662.741761781935,1650.5159156756413,123836.71367321978,84800.22866758198,77513.88003983934,41888.18685994521,10144.567481717117,12344.569369319688,6496.419668099885,7198.883632211214,3307.548831018331,6005.92969315887,2535.7988704468034,723.0439630599027,6474.810669203882,17919.691084488404,96472.51807124825,OAS1_0445_MR1_mpr-4,16595.368152147665,77513.88003983934,57291.63007298796,309849.37716988905
267,1254.0079359331141,1510.9149228078138,2201.030887549998,1890.958903391482,118116.84596544609,84955.60765964372,87484.546530441,34582.97323316637,9718.561503481633,11778.962398216376,5240.353732271913,8267.328577624685,3540.102819137218,5920.179697539811,2308.732882047536,697.6619643566614,6701.87665760315,16328.85716576363,116819.27703173849,OAS1_0220_MR1_mpr-4,19023.808028079406,87484.546530441,33645.211281076336,363629.0304223029
272,1276.9889347590217,1104.4599435734758,1911.538902340056,2778.6428580399775,205740.30748878996,139726.18786143136,134104.07514866337,61323.59486699609,14576.813255275021,18524.743053576483,9545.346512331136,11676.062403473505,4538.232768143062,8876.496546502478,4025.790794323567,1466.3249250859035,9281.922525789387,24527.585746893066,151395.7332652378,OAS1_0435_MR1_mpr-4,23128.488818372505,134104.07514866337,18018.132079459087,474048.6137809998
276,1150.0789412428148,1668.3519147644056,1883.0699037945285,1624.4479170074476,144823.8536009931,92137.6842927136,96886.86205007954,42877.74180938915,10388.097469275244,13910.707289306174,6966.6726440748025,9812.543498680123,4347.181777903799,6161.994685185557,2576.2728683789987,1041.0049468153723,7691.08860706461,19496.80500391413,118066.0819680396,OAS1_0022_MR1_mpr-4,20692.502942826286,96886.86205007954,19717.010992663876,413000.7908999146
279,1394.6379287483703,1645.0279159560216,2273.0608838700073,2143.749890476467,144008.19964266467,97793.7540037467,88919.65845712155,42770.38281487409,12326.04737026597,12718.439350218783,7085.3506380115805,8637.082558734066,4271.035781794075,5819.680702674274,2297.070882643344,956.2839511437423,7236.6136302836,19933.786981588855,121498.1397926968,OAS1_0362_MR1_mpr-4,19794.87198868598,88919.65845712155,37080.01310559335,343856.4534324779
295,1092.7979441692837,983.7239497418411,1953.3849002021566,1624.7909169899237,156335.962012843,104360.8316682367,96421.75407384176,48108.49154215172,11576.935408537873,15650.06020044316,7566.236613443261,10541.075461459644,4316.311779480937,6801.346652521257,3336.017829563859,1067.4159454660426,8215.878580253251,20677.75394357981,127530.82348448882,OAS1_0174_MR1_mpr-4,19140.08502213885,96421.75407384176,8940.637543225534,412660.5349172981
309,1316.776932726265,1952.0129002722517,1731.4639115400328,2144.7788904238955,141666.5387622994,102326.49877217015,99046.73293973239,42849.615810826086,11310.081422171363,13260.72232251371,4973.499745905403,9015.068539422877,3793.23680620468,7548.743614336973,3060.9318436179183,832.1179574873454,7821.771600388056,20511.055952096358,135116.61109693322,OAS1_0130_MR1_mpr-4,20753.556939707058,99046.73293973239,22697.33784039988,416374.5387275508
313,1625.4769169548763,1639.539916236402,4078.2697916424304,1420.3629274340879,143687.83765903188,87543.88552740938,90371.57738294345,34660.491229205996,11027.449436610947,12799.730346065651,7351.861624395615,8366.455572560317,3717.4338100774316,5680.079709806447,2381.105878350021,905.1769537547834,6609.952662299519,18268.17906668426,107084.93752906294,OAS1_0425_MR1_mpr-4,17868.584087099447,90371.57738294345,66512.49860189657,372230.09798287693
